"region";"måned";"statistikkvariabel";"03616: Hotell og liknande overnattingsbedrifter. Kapasitetsutnytting og pris per rom, etter region, måned og statistikkvariabel"
"01 Østfold";"1989M02";"Kapasitetsutnytting av rom (prosent)";47,3
"01 Østfold";"1989M02";"Pris per rom (kr)";0
"01 Østfold";"1989M03";"Kapasitetsutnytting av senger (prosent)";27,9
"01 Østfold";"1989M03";"Kapasitetsutnytting av rom (prosent)";40,3
"01 Østfold";"1989M03";"Pris per rom (kr)";0
"01 Østfold";"1989M04";"Kapasitetsutnytting av senger (prosent)";31,1
"01 Østfold";"1989M04";"Kapasitetsutnytting av rom (prosent)";47,6
"01 Østfold";"1989M04";"Pris per rom (kr)";0
"01 Østfold";"1989M05";"Kapasitetsutnytting av senger (prosent)";29,2
"01 Østfold";"1989M05";"Kapasitetsutnytting av rom (prosent)";40,1
"01 Østfold";"1989M05";"Pris per rom (kr)";0
"01 Østfold";"1989M06";"Kapasitetsutnytting av senger (prosent)";40,3
"01 Østfold";"1989M06";"Kapasitetsutnytting av rom (prosent)";55,6
"01 Østfold";"1989M06";"Pris per rom (kr)";0
"01 Østfold";"1989M07";"Kapasitetsutnytting av senger (prosent)";40,5
"01 Østfold";"1989M07";"Kapasitetsutnytting av rom (prosent)";41,9
"01 Østfold";"1989M07";"Pris per rom (kr)";0
"01 Østfold";"1989M08";"Kapasitetsutnytting av senger (prosent)";39,5
"01 Østfold";"1989M08";"Kapasitetsutnytting av rom (prosent)";50,5
"01 Østfold";"1989M08";"Pris per rom (kr)";0
"01 Østfold";"1989M09";"Kapasitetsutnytting av senger (prosent)";31
"01 Østfold";"1989M09";"Kapasitetsutnytting av rom (prosent)";46,7
"01 Østfold";"1989M09";"Pris per rom (kr)";0
"01 Østfold";"1989M10";"Kapasitetsutnytting av senger (prosent)";31
"01 Østfold";"1989M10";"Kapasitetsutnytting av rom (prosent)";46,9
"01 Østfold";"1989M10";"Pris per rom (kr)";0
"01 Østfold";"1989M11";"Kapasitetsutnytting av senger (prosent)";33,7
"01 Østfold";"1989M11";"Kapasitetsutnytting av rom (prosent)";49,5
"01 Østfold";"1989M11";"Pris per rom (kr)";0
"01 Østfold";"1989M12";"Kapasitetsutnytting av senger (prosent)";21
"01 Østfold";"1989M12";"Kapasitetsutnytting av rom (prosent)";30,5
"01 Østfold";"1989M12";"Pris per rom (kr)";0
"01 Østfold";"1990M01";"Kapasitetsutnytting av senger (prosent)";20,9
"01 Østfold";"1990M01";"Kapasitetsutnytting av rom (prosent)";31,9
"01 Østfold";"1990M01";"Pris per rom (kr)";0
"01 Østfold";"1990M02";"Kapasitetsutnytting av senger (prosent)";25,4
"01 Østfold";"1990M02";"Kapasitetsutnytting av rom (prosent)";33,8
"01 Østfold";"1990M02";"Pris per rom (kr)";0
"01 Østfold";"1990M03";"Kapasitetsutnytting av senger (prosent)";28,6
"01 Østfold";"1990M03";"Kapasitetsutnytting av rom (prosent)";43,8
"01 Østfold";"1990M03";"Pris per rom (kr)";0
"01 Østfold";"1990M04";"Kapasitetsutnytting av senger (prosent)";26
"01 Østfold";"1990M04";"Kapasitetsutnytting av rom (prosent)";37,3
"01 Østfold";"1990M04";"Pris per rom (kr)";0
"01 Østfold";"1990M05";"Kapasitetsutnytting av senger (prosent)";26,9
"01 Østfold";"1990M05";"Kapasitetsutnytting av rom (prosent)";39,3
"01 Østfold";"1990M05";"Pris per rom (kr)";0
"01 Østfold";"1990M06";"Kapasitetsutnytting av senger (prosent)";43,9
"01 Østfold";"1990M06";"Kapasitetsutnytting av rom (prosent)";54,9
"01 Østfold";"1990M06";"Pris per rom (kr)";0
"01 Østfold";"1990M07";"Kapasitetsutnytting av senger (prosent)";41,9
"01 Østfold";"1990M07";"Kapasitetsutnytting av rom (prosent)";43,7
"01 Østfold";"1990M07";"Pris per rom (kr)";0
"01 Østfold";"1990M08";"Kapasitetsutnytting av senger (prosent)";38,6
"01 Østfold";"1990M08";"Kapasitetsutnytting av rom (prosent)";48,8
"01 Østfold";"1990M08";"Pris per rom (kr)";0
"01 Østfold";"1990M09";"Kapasitetsutnytting av senger (prosent)";31,4
"01 Østfold";"1990M09";"Kapasitetsutnytting av rom (prosent)";49,2
"01 Østfold";"1990M09";"Pris per rom (kr)";0
"01 Østfold";"1990M10";"Kapasitetsutnytting av senger (prosent)";25,8
"01 Østfold";"1990M10";"Kapasitetsutnytting av rom (prosent)";42,2
"01 Østfold";"1990M10";"Pris per rom (kr)";0
"01 Østfold";"1990M11";"Kapasitetsutnytting av senger (prosent)";26
"01 Østfold";"1990M11";"Kapasitetsutnytting av rom (prosent)";40,7
"01 Østfold";"1990M11";"Pris per rom (kr)";0
"01 Østfold";"1990M12";"Kapasitetsutnytting av senger (prosent)";19,8
"01 Østfold";"1990M12";"Kapasitetsutnytting av rom (prosent)";30,2
"01 Østfold";"1990M12";"Pris per rom (kr)";0
"01 Østfold";"1991M01";"Kapasitetsutnytting av senger (prosent)";16,5
"01 Østfold";"1991M01";"Kapasitetsutnytting av rom (prosent)";26,2
"01 Østfold";"1991M01";"Pris per rom (kr)";0
"01 Østfold";"1991M02";"Kapasitetsutnytting av senger (prosent)";22,4
"01 Østfold";"1991M02";"Kapasitetsutnytting av rom (prosent)";32,8
"01 Østfold";"1991M02";"Pris per rom (kr)";0
"01 Østfold";"1991M03";"Kapasitetsutnytting av senger (prosent)";22,5
"01 Østfold";"1991M03";"Kapasitetsutnytting av rom (prosent)";33,3
"01 Østfold";"1991M03";"Pris per rom (kr)";0
"01 Østfold";"1991M04";"Kapasitetsutnytting av senger (prosent)";27,4
"01 Østfold";"1991M04";"Kapasitetsutnytting av rom (prosent)";38,2
"01 Østfold";"1991M04";"Pris per rom (kr)";0
"01 Østfold";"1991M05";"Kapasitetsutnytting av senger (prosent)";24,5
"01 Østfold";"1991M05";"Kapasitetsutnytting av rom (prosent)";37,9
"01 Østfold";"1991M05";"Pris per rom (kr)";0
"01 Østfold";"1991M06";"Kapasitetsutnytting av senger (prosent)";38,4
"01 Østfold";"1991M06";"Kapasitetsutnytting av rom (prosent)";51,8
"01 Østfold";"1991M06";"Pris per rom (kr)";0
"01 Østfold";"1991M07";"Kapasitetsutnytting av senger (prosent)";35
"01 Østfold";"1991M07";"Kapasitetsutnytting av rom (prosent)";38,5
"01 Østfold";"1991M07";"Pris per rom (kr)";0
"01 Østfold";"1991M08";"Kapasitetsutnytting av senger (prosent)";42,3
"01 Østfold";"1991M08";"Kapasitetsutnytting av rom (prosent)";53,5
"01 Østfold";"1991M08";"Pris per rom (kr)";0
"01 Østfold";"1991M09";"Kapasitetsutnytting av senger (prosent)";28,6
"01 Østfold";"1991M09";"Kapasitetsutnytting av rom (prosent)";44,8
"01 Østfold";"1991M09";"Pris per rom (kr)";0
"01 Østfold";"1991M10";"Kapasitetsutnytting av senger (prosent)";26,2
"01 Østfold";"1991M10";"Kapasitetsutnytting av rom (prosent)";43
"01 Østfold";"1991M10";"Pris per rom (kr)";0
"01 Østfold";"1991M11";"Kapasitetsutnytting av senger (prosent)";26,2
"01 Østfold";"1991M11";"Kapasitetsutnytting av rom (prosent)";42,6
"01 Østfold";"1991M11";"Pris per rom (kr)";0
"01 Østfold";"1991M12";"Kapasitetsutnytting av senger (prosent)";21,3
"01 Østfold";"1991M12";"Kapasitetsutnytting av rom (prosent)";32,5
"01 Østfold";"1991M12";"Pris per rom (kr)";0
"01 Østfold";"1992M01";"Kapasitetsutnytting av senger (prosent)";20,5
"01 Østfold";"1992M01";"Kapasitetsutnytting av rom (prosent)";31,7
"01 Østfold";"1992M01";"Pris per rom (kr)";507
"01 Østfold";"1992M02";"Kapasitetsutnytting av senger (prosent)";23,5
"01 Østfold";"1992M02";"Kapasitetsutnytting av rom (prosent)";33,4
"01 Østfold";"1992M02";"Pris per rom (kr)";574
"01 Østfold";"1992M03";"Kapasitetsutnytting av senger (prosent)";24,4
"01 Østfold";"1992M03";"Kapasitetsutnytting av rom (prosent)";35,5
"01 Østfold";"1992M03";"Pris per rom (kr)";608
"01 Østfold";"1992M04";"Kapasitetsutnytting av senger (prosent)";21,7
"01 Østfold";"1992M04";"Kapasitetsutnytting av rom (prosent)";33,1
"01 Østfold";"1992M04";"Pris per rom (kr)";609
"01 Østfold";"1992M05";"Kapasitetsutnytting av senger (prosent)";28,8
"01 Østfold";"1992M05";"Kapasitetsutnytting av rom (prosent)";41,8
"01 Østfold";"1992M05";"Pris per rom (kr)";521
"01 Østfold";"1992M06";"Kapasitetsutnytting av senger (prosent)";34,3
"01 Østfold";"1992M06";"Kapasitetsutnytting av rom (prosent)";49,4
"01 Østfold";"1992M06";"Pris per rom (kr)";518
"01 Østfold";"1992M07";"Kapasitetsutnytting av senger (prosent)";34
"01 Østfold";"1992M07";"Kapasitetsutnytting av rom (prosent)";38,2
"01 Østfold";"1992M07";"Pris per rom (kr)";423
"01 Østfold";"1992M08";"Kapasitetsutnytting av senger (prosent)";36
"01 Østfold";"1992M08";"Kapasitetsutnytting av rom (prosent)";47,8
"01 Østfold";"1992M08";"Pris per rom (kr)";504
"01 Østfold";"1992M09";"Kapasitetsutnytting av senger (prosent)";29,7
"01 Østfold";"1992M09";"Kapasitetsutnytting av rom (prosent)";46,5
"01 Østfold";"1992M09";"Pris per rom (kr)";549
"01 Østfold";"1992M10";"Kapasitetsutnytting av senger (prosent)";30
"01 Østfold";"1992M10";"Kapasitetsutnytting av rom (prosent)";47,8
"01 Østfold";"1992M10";"Pris per rom (kr)";591
"01 Østfold";"1992M11";"Kapasitetsutnytting av senger (prosent)";27,2
"01 Østfold";"1992M11";"Kapasitetsutnytting av rom (prosent)";43,8
"01 Østfold";"1992M11";"Pris per rom (kr)";567
"01 Østfold";"1992M12";"Kapasitetsutnytting av senger (prosent)";22,2
"01 Østfold";"1992M12";"Kapasitetsutnytting av rom (prosent)";31,3
"01 Østfold";"1992M12";"Pris per rom (kr)";630
"01 Østfold";"1993M01";"Kapasitetsutnytting av senger (prosent)";19,8
"01 Østfold";"1993M01";"Kapasitetsutnytting av rom (prosent)";29,2
"01 Østfold";"1993M01";"Pris per rom (kr)";535
"01 Østfold";"1993M02";"Kapasitetsutnytting av senger (prosent)";25,3
"01 Østfold";"1993M02";"Kapasitetsutnytting av rom (prosent)";36
"01 Østfold";"1993M02";"Pris per rom (kr)";557
"01 Østfold";"1993M03";"Kapasitetsutnytting av senger (prosent)";27,5
"01 Østfold";"1993M03";"Kapasitetsutnytting av rom (prosent)";43,8
"01 Østfold";"1993M03";"Pris per rom (kr)";532
"01 Østfold";"1993M04";"Kapasitetsutnytting av senger (prosent)";20,4
"01 Østfold";"1993M04";"Kapasitetsutnytting av rom (prosent)";33,5
"01 Østfold";"1993M04";"Pris per rom (kr)";572
"01 Østfold";"1993M05";"Kapasitetsutnytting av senger (prosent)";24,7
"01 Østfold";"1993M05";"Kapasitetsutnytting av rom (prosent)";37,1
"01 Østfold";"1993M05";"Pris per rom (kr)";540
"01 Østfold";"1993M06";"Kapasitetsutnytting av senger (prosent)";39,5
"01 Østfold";"1993M06";"Kapasitetsutnytting av rom (prosent)";56,1
"01 Østfold";"1993M06";"Pris per rom (kr)";538
"01 Østfold";"1993M07";"Kapasitetsutnytting av senger (prosent)";38
"01 Østfold";"1993M07";"Kapasitetsutnytting av rom (prosent)";40,2
"01 Østfold";"1993M07";"Pris per rom (kr)";501
"01 Østfold";"1993M08";"Kapasitetsutnytting av senger (prosent)";35,7
"01 Østfold";"1993M08";"Kapasitetsutnytting av rom (prosent)";45,8
"01 Østfold";"1993M08";"Pris per rom (kr)";514
"01 Østfold";"1993M09";"Kapasitetsutnytting av senger (prosent)";31,8
"01 Østfold";"1993M09";"Kapasitetsutnytting av rom (prosent)";48,2
"01 Østfold";"1993M09";"Pris per rom (kr)";577
"01 Østfold";"1993M10";"Kapasitetsutnytting av senger (prosent)";26,8
"01 Østfold";"1993M10";"Kapasitetsutnytting av rom (prosent)";40,6
"01 Østfold";"1993M10";"Pris per rom (kr)";577
"01 Østfold";"1993M11";"Kapasitetsutnytting av senger (prosent)";27,9
"01 Østfold";"1993M11";"Kapasitetsutnytting av rom (prosent)";44,1
"01 Østfold";"1993M11";"Pris per rom (kr)";535
"01 Østfold";"1993M12";"Kapasitetsutnytting av senger (prosent)";21,1
"01 Østfold";"1993M12";"Kapasitetsutnytting av rom (prosent)";31,6
"01 Østfold";"1993M12";"Pris per rom (kr)";549
"01 Østfold";"1994M01";"Kapasitetsutnytting av senger (prosent)";22,2
"01 Østfold";"1994M01";"Kapasitetsutnytting av rom (prosent)";34,2
"01 Østfold";"1994M01";"Pris per rom (kr)";553
"01 Østfold";"1994M02";"Kapasitetsutnytting av senger (prosent)";22,5
"01 Østfold";"1994M02";"Kapasitetsutnytting av rom (prosent)";32,6
"01 Østfold";"1994M02";"Pris per rom (kr)";547
"01 Østfold";"1994M03";"Kapasitetsutnytting av senger (prosent)";23,7
"01 Østfold";"1994M03";"Kapasitetsutnytting av rom (prosent)";37,3
"01 Østfold";"1994M03";"Pris per rom (kr)";546
"01 Østfold";"1994M04";"Kapasitetsutnytting av senger (prosent)";31
